"","ryear","rname","ryear2","uf","vyear","vname","uf","rcropf"
"23","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"24","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
"25","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19811991","RO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1981_1991.shp","RO","./output1/mun_rasters2/RO_1981_1991"
"26","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19811991","TO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1981_1991.shp","TO","./output1/mun_rasters2/TO_1981_1991"
"27","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"28","1988","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1988.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"29","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"30","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"31","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
"32","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19811991","RO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1981_1991.shp","RO","./output1/mun_rasters2/RO_1981_1991"
"33","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19811991","TO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1981_1991.shp","TO","./output1/mun_rasters2/TO_1981_1991"
"34","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"35","1989","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1989.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"36","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"37","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"38","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
"39","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19811991","RO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1981_1991.shp","RO","./output1/mun_rasters2/RO_1981_1991"
"40","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19811991","TO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1981_1991.shp","TO","./output1/mun_rasters2/TO_1981_1991"
"41","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"42","1990","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1990.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"43","1991","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1991.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"44","1991","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1991.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"45","1991","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1991.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
